ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP00954283A,2000,Other,"METHOD, DEVICE AND AUXILIARY JOINING PART FOR EFFECTING A MECHANICAL JOINING","['UNIV DRESDEN TECH', 'TU DRESDEN']","['Mauermann, Reinhard', 'Voelkner, Wolfgang', 'Berger, Guenter']","['19927103·1999-06-14', 'DE0002010·2000-06-14']",['DE0002010·2000-06-14'],"['B21J15/', 'B21J15/', 'B21J15/', 'B21J15/', 'F16B19/', 'F16B37/']","['B21J15/025', 'B21J15/025', 'B21J15/12', 'B21J15/12', 'F16B19/086', 'F16B37/065', 'F16B37/065', 'F16B37/068', 'F16B37/068', 'Y10T29/49837', 'Y10T29/49837', 'Y10T29/49943', 'Y10T29/49943', 'Y10T29/49956', 'Y10T29/49956', 'Y10T29/5343', 'Y10T29/5343', 'Y10T29/5377', 'Y10T29/5377']",EP20000954283,20000614
EP00982966A,2000,Other,ELECTRON IMPACT ION SOURCE,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Zschornack, Guenter', 'Ovsyannikov, Vladimir, Petrovich', 'Grossmann, Frank', 'Koulthachev, Oleg, Konstantinovich']","['19949978·1999-10-08', 'DE0003525·2000-10-06']",['DE0003525·2000-10-06'],"['G01N27/', 'G21K1/', 'G21K5/', 'G21K5/', 'H01J27/', 'H01J27/', 'H01J37/', 'H05H3/']","['H01J27/18', 'H01J27/18']",EP20000982966,20001006
EP01996894A,2001,Other,LIGHT EMITTING COMPONENT COMPRISING ORGANIC LAYERS,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'NOVALED AG']","['Pfeiffer, Martin', 'Leo, Karl', 'Blochwitz-Niemoth, Jan', 'Zhou, Xiang Prof. Dr']","['10058578·2000-11-20', 'DE0104422·2001-11-20']",['DE0104422·2001-11-20'],['H01L51/'],"['H05B33/22', 'H10K50/11', 'H10K50/11', 'H10K50/155', 'H10K50/155', 'H10K50/165', 'H10K50/165', 'H10K50/18', 'H10K50/18', 'H10K50/18', 'Y10S428/917', 'Y10S428/917', 'Y10T428/26', 'Y10T428/26']",EP20010996894,20011120
EP02745122A,2002,Other,WOOD PROFILE AND METHOD FOR THE PRODUCTION OF THE SAME,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Haller, Peer', 'Wehsener, Joerg', 'Ziegler, Sonja']","['10127400·2001-05-30', 'DE2002002030·2002-05-30']",['DE2002002030·2002-05-30'],"['B27H1/', 'B27K3/', 'B27M1/', 'B27M1/', 'B27M3/']","['B27H1/00', 'B27H1/00', 'B27M1/02', 'B27M1/02', 'B27M3/0053', 'B27M3/0053']",EP20020745122,20020530
EP02018977A,2002,Water Tech: Water treatment,METHOD AND APPARATUS FOR THE UV RADIATION OF LIQUIDS,"['UMEX DRESDEN GMBH', 'UMEX DRESDEN GMBH', 'TU DRESDEN']","['Johne, Steffen', 'Meyer, Andreas, Dr', 'Herrmann, Heido', 'Boernick, Hilmar, Dr']",[],[],"['C02F1/', 'C02F1/', 'H01J65/']","['C02F1/325', 'C02F1/78', 'H01J65/044', 'C02F2201/3223', 'C02F2303/04']",EP20020018977,20020827
EP04005863A,2004,Other,Carrier for tissue- and cell-culture for the preparation of implants and implant containing the carrier,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Offermann, Peter, Prof. Dr', 'Worch, Hartmut, Prof. Dr', 'Pompe, Wolfgang, Prof. Dr', 'Gelinsky, Michael, Dr', 'Schmack, Gerhilt, Dr', 'Hoffmann, Gerald, Dr', 'Koeckritz, Uwe']",['10312144·2003-03-13'],[],"['A61L27/', 'A61L27/', 'C12N5/', 'C12N5/']","['A61F2/30756', 'A61F2/30756', 'A61L27/18', 'A61L27/18', 'A61L27/3633', 'A61L27/3633', 'A61L27/38', 'A61L27/38', 'A61L27/3847', 'A61L27/3847', 'A61L27/3852', 'A61L27/3852', 'C12N5/0068', 'C12N5/0068', 'A61F2/105', 'A61F2/105', 'A61F2002/30062', 'A61F2002/30062', 'A61F2002/30225', 'A61F2002/30225', 'A61F2002/30448', 'A61F2002/30448', 'A61F2002/30602', 'A61F2002/30602', 'A61F2002/30762', 'A61F2002/30762', 'A61F2002/30766', 'A61F2002/30766', 'A61F2002/30892', 'A61F2002/30892', 'A61F2002/30971', 'A61F2002/30971', 'A61F2002/4648', 'A61F2002/4648', 'A61F2210/0004', 'A61F2210/0004', 'A61F2220/005', 'A61F2220/005', 'A61F2230/0069', 'A61F2230/0069', 'A61F2310/00365', 'A61F2310/00365', 'A61F2310/00383', 'A61F2310/00383', 'A61L2430/06', 'B33Y80/00', 'B33Y80/00', 'C12N2533/40', 'C12N2533/40', 'C12N2533/50', 'C12N2533/50', 'C12N2533/54', 'C12N2533/54', 'C12N2533/70', 'C12N2533/70', 'C12N2533/72', 'C12N2533/72']",EP20040005863,20040312
EP04400036A,2004,Other,Flexible ossicular prosthesis,"['UNIV DRESDEN TECH', 'HEINZ KURZ GMBH MEDIZINTECHNIK', 'TU DRESDEN']","['Huettenbrink, Karl-Bernd', 'Zahnert, Thomas', 'Hofmann, Gert', 'Bornitz, Matthias', 'Hüttenbrink, Karl-Bernd']",['10331644·2003-07-08'],[],['A61F2/'],"['A61F2/18', 'A61F2002/183']",EP20040400036,20040706
EP03732220A,2003,Other,COMPONENTS HAVING CRYSTALLINE COATINGS OF THE ALUMINUM OXIDE/SILICON OXIDE SYSTEM AND METHOD FOR THE PRODUCTION THEREOF,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Meyer, Dirk', 'Levin, Alexandr', 'Paufler, Peter']","['10219812·2002-05-02', 'DE2003001440·2003-04-30']",['DE2003001440·2003-04-30'],"['C03C17/', 'C03C17/', 'C23C14/', 'C23C14/']","['C03C17/007', 'C03C17/007', 'C03C17/245', 'C03C17/245', 'C23C14/081', 'C23C14/081', 'C23C14/5806', 'C23C14/5806', 'C23C14/5813', 'C23C14/5813', 'C23C14/5893', 'C23C14/5893', 'C03C2217/213', 'C03C2217/213', 'C03C2217/214', 'C03C2217/214', 'C03C2217/23', 'C03C2217/23', 'C03C2217/40', 'C03C2217/40', 'C03C2217/91', 'C03C2217/91', 'C03C2218/156', 'C03C2218/156', 'C03C2218/32', 'C03C2218/32']",EP20030732220,20030430
EP03759870A,2003,Other,"METHOD FOR PRODUCING GAS-TIGHT AND HIGH-TEMPERATURE RESISTANT UNIONS OF SHAPED PARTS, WHICH ARE MADE OF A NON-OXIDIC CERAMIC MATERIAL, BY USING A LASER","['UNIV DRESDEN TECH', 'TU DRESDEN', 'MANAGEMENT ASSOCIATES GBR']","['Knorr, Juergen', 'Lippmann, Wolfgang', 'Wolf, Regine', 'Exner, Horst', 'Reinecke, Anne-Maria']","['10227366·2002-06-14', 'DE2003002056·2003-06-13']",['DE2003002056·2003-06-13'],"['B23K1/', 'B23K1/', 'B23K35/', 'C04B35/', 'C04B35/', 'C04B35/', 'C04B35/', 'C04B37/']","['C04B35/64', 'C04B35/64', 'C04B35/653', 'C04B35/653', 'C04B37/005', 'C04B37/005', 'B32B2315/02', 'B32B2315/02', 'C04B2235/3217', 'C04B2235/3217', 'C04B2235/3225', 'C04B2235/3225', 'C04B2235/3244', 'C04B2235/3244', 'C04B2235/3418', 'C04B2235/3418', 'C04B2235/428', 'C04B2235/428', 'C04B2235/665', 'C04B2235/665', 'C04B2237/062', 'C04B2237/062', 'C04B2237/064', 'C04B2237/064', 'C04B2237/066', 'C04B2237/066', 'C04B2237/068', 'C04B2237/068', 'C04B2237/365', 'C04B2237/365']",EP20030759870,20030613
EP03762464A,2003,Other,METALLIC OBJECT WITH A NUCLEIC ACID COATING AND METHOD FOR PRODUCING SAID OBJECT,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Scharnweber, Dieter', 'Beutner, Rene', 'Roessler, Sophie', 'Hanke, Thomas', 'Worch, Hartmut', 'Schwenzer, Bernd', 'Michael, Jan']","['10232139·2002-07-04', 'DE2003002305·2003-07-04']",['DE2003002305·2003-07-04'],"['A61K9/', 'A61K9/', 'A61L27/', 'C25D11/', 'C40B40/']","['A61K9/0024', 'A61K9/0024', 'A61K9/167', 'A61K9/167', 'A61L27/306', 'A61L27/306', 'C25D11/02', 'C25D11/02', 'A61K9/1611', 'A61K9/1611', 'B01J2219/00527', 'B01J2219/00527', 'B01J2219/00574', 'B01J2219/00574', 'B01J2219/00576', 'B01J2219/00576', 'B01J2219/00641', 'B01J2219/00641', 'B01J2219/00722', 'B01J2219/00722', 'C40B40/06', 'C40B40/06']",EP20030762464,20030704
EP04721821A,2004,Other,PHOTOACTIVE COMPONENT COMPRISING ORGANIC LAYERS,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'HELIATEK GMBH']","['Drechsel, Jens', 'Pfeiffer, Martin', 'Maennig, Bert', 'Leo, Karl', 'Männig, Bert']","['10313232·2003-03-19', 'DE2004000574·2004-03-19']",['DE2004000574·2004-03-19'],"['G03F1/', 'H01L27/', 'H01L31/', 'H01L31/', 'H01L51/', 'H10N10/', 'H01L51/']","['B82Y10/00', 'B82Y10/00', 'H10K30/20', 'H10K30/20', 'H10K30/20', 'H10K30/30', 'H10K30/30', 'H10K30/30', 'H10K30/40', 'H10K30/40', 'H10K30/40', 'H10K30/57', 'H10K30/57', 'H10K30/211', 'H10K30/211', 'H10K30/211', 'H10K30/60', 'H10K30/60', 'H10K30/60', 'H10K71/30', 'H10K71/30', 'H10K85/211', 'H10K85/211', 'H10K85/311', 'H10K85/311', 'H10K85/381', 'H10K85/381', 'H10K85/631', 'H10K85/631', 'H10K2102/103', 'H10K2102/103', 'Y02E10/549', 'Y02E10/549']",EP20040721821,20040319
EP04762394A,2004,Other,ANNULAR COMPOSITE WORKPIECES AND A COLD-ROLLING METHOD FOR PRODUCING SAID WORKPIECES,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']","['Ficker, Thomas', 'Hardtmann, Andre', 'Houska, Mario', 'Thoms, Volker', 'Hardtmann, André']","['10331061·2003-07-09', 'DE2004001539·2004-07-08']",['DE2004001539·2004-07-08'],"['B21H1/', 'B21H1/', 'B23P15/', 'F16C33/']","['B21H1/06', 'B21H1/06', 'B21H1/12', 'B21H1/12', 'B23P15/003', 'B23P15/003', 'F16C33/60', 'F16C33/60', 'F16C33/64', 'F16C33/64', 'Y10T29/49675', 'Y10T29/49675', 'Y10T29/49677', 'Y10T29/49677', 'Y10T29/49689', 'Y10T29/49689', 'Y10T29/49908', 'Y10T29/49908', 'Y10T29/49913', 'Y10T29/49913', 'Y10T29/49927', 'Y10T29/49927']",EP20040762394,20040708
EP03818073A,2003,Other,METHOD FOR PRODUCING INTERNALLY OR EXTERNALLY PROFILED RINGS AND ARRANGEMENT THEREFOR,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']","['Ficker, Thomas', 'Hardtmann, Andre', 'Houska, Mario']",['DE2003002720·2003-08-13'],['DE2003002720·2003-08-13'],"['B21H1/', 'B21H1/', 'B23P15/', 'F16C33/']","['B21H1/06', 'B21H1/06', 'B21H1/12', 'B21H1/12', 'B23P15/003', 'B23P15/003', 'F16C33/64', 'F16C33/64', 'Y10T29/49643', 'Y10T29/49643', 'Y10T29/49668', 'Y10T29/49668', 'Y10T29/49671', 'Y10T29/49671', 'Y10T29/49684', 'Y10T29/49684', 'Y10T29/49689', 'Y10T29/49689', 'Y10T29/49707', 'Y10T29/49707', 'Y10T29/53104', 'Y10T29/53104', 'Y10T29/53109', 'Y10T29/53109']",EP20030818073,20030813
EP06090055A,2006,Other,Near field optics for electromagnetic radiation in the infrared spectrum,"['BERLINER ELEKTRONENSPEICHER', 'BERLINER ELEKTRONENSPEICHERRING-GESELLSCHAFT FUERSYNCHROTRONSTRAHLUNG MBH', 'TU DRESDEN']","['Holldack, Karsten', 'Rudolph, Ivo', 'Schade, Ulrich', 'Schondelmaier, Daniel', 'Staats, Gerald']",['DE102005017676A·2005-04-11'],['DE102005017676A·2005-04-11'],"['G01Q10/', 'G01Q60/']",['G01Q60/22'],EP20060090055,20060411
EP05011427A,2005,Other,Transparent organic light emitting diode,"['UNIV DRESDEN TECH', 'NOVALED AG']","['Leo, Karl, Prof. Dr', 'Lyssenko, Vadim, Prof. Dr', 'Gehlhaar, Robert']",[],[],"['H01L51/', 'H10N10/']","['H05B33/22', 'H05B33/26', 'H10K50/856', 'H10K50/856', 'H10K50/856', 'H10K50/125', 'H10K50/125', 'H10K2102/3031', 'H10K2102/3031']",EP20050011427,20050527
EP05732179A,2005,Oncology - treatment: Targeted chemotherapy,TRIPARTITE CONJUGATES CONTAINING A STRUCTURE INTERACTING WITH CELL MEMBRANE RAFTS AND THEIR USE,"['JADOLABS GMBH', 'JADO TECHNOLOGIES GMBH', 'MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V', 'TU DRESDEN']","['Braxmeier, Tobias', 'Friedrichson, Tim', 'Froehner, Wolfgang', 'Jennings, Gary', 'Munick, Michael', 'Schlechtingen, Georg', 'Schroeder, Cornelia', 'Knoelker, Hans-Joachim', 'Simons, Kai', 'Zerial, Marino', 'Kurzchalia, Teymuras']","['04008607·2004-04-08', '575068 P·2004-05-27', '661976 P·2005-03-11', 'EP2005003740W·2005-04-08']",[],['A61K47/'],"['A61K47/543', 'A61K47/543', 'A61K47/554', 'A61K47/554', 'A61P3/04', 'A61P9/10', 'A61P25/00', 'A61P31/12', 'A61P33/00', 'A61P35/00']",EP20050732179,20050408
