ipc_subclass,total_patents,granted_patents,grant_rate
C09F,9552,6737,70.53
B21L,9326,6664,71.46
B21G,9236,6597,71.43
B31C,8968,6216,69.31
B61J,7930,5312,66.99
D01C,7927,4957,62.53
F24V,7867,4161,52.89
G06E,7416,4830,65.13
A01L,7414,4478,60.4
G09D,7319,3880,53.01
F24T,7318,4356,59.52
G10B,6399,3808,59.51
G21H,6256,3737,59.73
B68C,5869,3686,62.8
F17B,5832,4016,68.86
B68B,5570,3939,70.72
F03H,5569,3065,55.04
A63K,4927,3485,70.73
C10H,4784,3291,68.79
C09H,4317,3010,69.72
B27H,4300,2762,64.23
D04G,4203,2840,67.57
G06J,4080,2946,72.21
E02C,4021,2810,69.88
H05C,3987,2604,65.31
C06F,3774,2001,53.02
B01B,3577,2353,65.78
C12F,3391,2026,59.75
C10F,3314,2432,73.39
D06J,3124,2156,69.01
B41G,3084,2394,77.63
B41D,3068,2291,74.67
B62C,2507,1622,64.7
C12L,1478,977,66.1
F21H,1234,661,53.57
B68F,1031,661,64.11
G06D,983,796,80.98
A99Z,557,367,65.89
G21J,296,176,59.46
G99Z,167,20,11.98
C99Z,69,45,65.22
H99Z,54,23,42.59
F99Z,45,34,75.56
E99Z,26,14,53.85
B99Z,24,8,33.33
D99Z,12,10,83.33
C13D,4,4,100.0
C13J,1,1,100.0
C13F,1,1,100.0
