ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
B68C,5869,3686,3336,1884,9999,4.7,B,Performing Operations; Transporting,62.8,8115
F17B,5832,4016,3776,1903,9999,2.24,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.86,8096
B68B,5570,3939,4302,1891,9999,2.53,B,Performing Operations; Transporting,70.72,8108
F03H,5569,3065,3724,1942,9999,7.73,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,55.04,8057
A63K,4927,3485,4065,1901,9999,2.8,A,Human Necessities,70.73,8098
C10H,4784,3291,3852,1897,9999,0.94,C,Chemistry; Metallurgy,68.79,8102
C09H,4317,3010,2208,1902,9999,12.08,C,Chemistry; Metallurgy,69.72,8097
B27H,4300,2762,3298,1881,9999,2.67,B,Performing Operations; Transporting,64.23,8118
D04G,4203,2840,2965,1902,9999,5.99,D,Textiles; Paper,67.57,8097
G06J,4080,2946,2422,1920,9999,11.07,G,Physics,72.21,8079
E02C,4021,2810,3284,1895,9999,1.54,E,Fixed Constructions,69.88,8104
H05C,3987,2604,2702,1905,9999,6.27,H,Electricity,65.31,8094
C06F,3774,2001,2737,1870,9999,1.54,C,Chemistry; Metallurgy,53.02,8129
B01B,3577,2353,2164,1878,9999,15.87,B,Performing Operations; Transporting,65.78,8121
C12F,3391,2026,1983,1902,9999,7.6,C,Chemistry; Metallurgy,59.75,8097
C10F,3314,2432,2210,1877,9999,4.43,C,Chemistry; Metallurgy,73.39,8122
D06J,3124,2156,2112,1877,9999,6.33,D,Textiles; Paper,69.01,8122
B41G,3084,2394,2767,1897,9999,2.84,B,Performing Operations; Transporting,77.63,8102
B41D,3068,2291,2500,1854,9999,2.39,B,Performing Operations; Transporting,74.67,8145
B62C,2507,1622,2144,1881,9999,2.74,B,Performing Operations; Transporting,64.7,8118
C12L,1478,977,1232,1877,9999,2.39,C,Chemistry; Metallurgy,66.1,8122
F21H,1234,661,1043,1896,9999,2.19,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,53.57,8103
B68F,1031,661,815,1906,9999,2.98,B,Performing Operations; Transporting,64.11,8093
G06D,983,796,778,1933,9999,31.66,G,Physics,80.98,8066
A99Z,557,367,554,1996,2023,9.09,A,Human Necessities,65.89,27
G21J,296,176,224,1939,9999,3.18,G,Physics,59.46,8060
G99Z,167,20,161,1998,2022,2.4,G,Physics,11.98,24
C99Z,69,45,46,1990,2021,17.57,C,Chemistry; Metallurgy,65.22,31
H99Z,54,23,48,2005,2022,2.89,H,Electricity,42.59,17
F99Z,45,34,45,2004,2022,1.8,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,75.56,18
E99Z,26,14,26,1997,2023,4.88,E,Fixed Constructions,53.85,26
B99Z,24,8,24,2006,2022,0.92,B,Performing Operations; Transporting,33.33,16
D99Z,12,10,12,2005,2024,3.92,D,Textiles; Paper,83.33,19
C13D,4,4,4,1971,1991,12.0,C,Chemistry; Metallurgy,100.0,20
C13J,1,1,1,1973,1974,23.0,C,Chemistry; Metallurgy,100.0,1
C13F,1,1,1,1989,1990,6.0,C,Chemistry; Metallurgy,100.0,1
