ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
C07F,703599,438012,162507,1899,9999,21.15,C,Chemistry; Metallurgy,62.25,8100
H02P,701310,413578,257629,1900,9999,9.49,H,Electricity,58.97,8099
F25B,696338,419275,307859,1877,9999,8.24,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,60.21,8122
F02B,695655,430608,272240,1882,9999,10.95,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.9,8117
G01C,688357,416946,382670,1891,9999,14.94,G,Physics,60.57,8108
H02B,684570,545129,291282,1884,9999,1.83,H,Electricity,79.63,8115
E04F,681485,458501,404411,1897,9999,6.79,E,Fixed Constructions,67.28,8102
G01M,681221,455332,458478,1895,9999,6.21,G,Physics,66.84,8104
F21S,679819,475194,461474,1897,9999,5.87,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,69.9,8102
B60L,678068,386940,291254,1898,9999,10.55,B,Performing Operations; Transporting,57.07,8101
H01S,675600,390086,178586,1899,9999,15.74,H,Electricity,57.74,8100
A23K,663586,210432,130973,1866,9999,6.94,A,Human Necessities,31.71,8133
F25D,657497,405034,303928,1881,9999,6.31,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.6,8118
G05D,656782,405089,398340,1882,9999,13.72,G,Physics,61.68,8117
D06F,655313,392805,275846,1860,9999,5.83,D,Textiles; Paper,59.94,8139
B60T,652169,410024,207251,1877,9999,10.58,B,Performing Operations; Transporting,62.87,8122
B66C,633703,438955,302443,1877,9999,3.08,B,Performing Operations; Transporting,69.27,8122
B07B,623179,490903,273164,1861,9999,2.22,B,Performing Operations; Transporting,78.77,8138
H01G,617787,352458,181180,1900,9999,10.17,H,Electricity,57.05,8099
B25B,610711,462410,392867,1876,9999,5.1,B,Performing Operations; Transporting,75.72,8123
F01N,602457,366777,179286,1902,9999,12.54,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,60.88,8097
A61N,592299,350790,232650,1899,9999,33.99,A,Human Necessities,59.23,8100
C21D,589868,369652,233246,1894,9999,6.27,C,Chemistry; Metallurgy,62.67,8105
G01F,583700,385342,294916,1877,9999,8.93,G,Physics,66.02,8122
B05D,582208,332418,222980,1888,9999,13.45,B,Performing Operations; Transporting,57.1,8111
B23B,574699,411703,308726,1888,9999,6.65,B,Performing Operations; Transporting,71.64,8111
A47G,574476,363557,428592,1856,9999,4.14,A,Human Necessities,63.28,8143
C03C,573837,334483,163874,1883,9999,17.06,C,Chemistry; Metallurgy,58.29,8116
A41D,571805,379315,251468,1889,9999,5.16,A,Human Necessities,66.34,8110
A61G,564992,405649,297702,1877,9999,8.43,A,Human Necessities,71.8,8122
G09B,560988,351390,374623,1891,9999,9.97,G,Physics,62.64,8108
G01D,552984,341858,325856,1899,9999,8.08,G,Physics,61.82,8100
C12M,544969,342067,189149,1891,9999,13.36,C,Chemistry; Metallurgy,62.77,8108
A61H,539988,357060,353506,1877,9999,6.09,A,Human Necessities,66.12,8122
B63B,528957,321063,264789,1890,9999,5.7,B,Performing Operations; Transporting,60.7,8109
C22B,517686,322763,160053,1878,9999,7.28,C,Chemistry; Metallurgy,62.35,8121
F24H,517509,345673,258769,1877,9999,2.56,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.8,8122
B22F,517347,289563,169274,1899,9999,11.28,B,Performing Operations; Transporting,55.97,8100
B05C,516362,363324,226794,1877,9999,6.66,B,Performing Operations; Transporting,70.36,8122
G08G,514292,273351,269700,1904,9999,16.68,G,Physics,53.15,8095
D21H,513244,299447,102012,1859,9999,15.77,D,Textiles; Paper,58.34,8140
B60C,502511,316503,159683,1894,9999,10.73,B,Performing Operations; Transporting,62.98,8105
B41M,492174,256554,153696,1879,9999,11.74,B,Performing Operations; Transporting,52.13,8120
A01D,490095,328001,252411,1860,9999,4.7,A,Human Necessities,66.93,8139
B66B,487871,307294,218873,1889,9999,5.91,B,Performing Operations; Transporting,62.99,8110
C07H,486920,283033,108881,1899,9999,42.68,C,Chemistry; Metallurgy,58.13,8100
A43B,486020,325544,178058,1885,9999,11.7,A,Human Necessities,66.98,8114
F15B,484585,328610,217842,1903,9999,5.7,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,67.81,8096
C03B,480879,315832,162558,1877,9999,11.09,C,Chemistry; Metallurgy,65.68,8122
F28F,480521,309460,217886,1881,9999,7.93,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,64.4,8118
B60N,479571,311813,204965,1894,9999,10.43,B,Performing Operations; Transporting,65.02,8105
C25D,474889,291677,162975,1882,9999,8.54,C,Chemistry; Metallurgy,61.42,8117
C10G,471973,308544,136254,1868,9999,16.86,C,Chemistry; Metallurgy,65.37,8131
B28B,469195,314779,229970,1863,9999,5.45,B,Performing Operations; Transporting,67.09,8136
B41F,467239,326049,192528,1884,9999,7.86,B,Performing Operations; Transporting,69.78,8115
C09B,466975,303343,117102,1865,9999,10.94,C,Chemistry; Metallurgy,64.96,8134
H04Q,461095,275784,235431,1885,9999,19.8,H,Electricity,59.81,8114
G01L,458204,295567,240272,1899,9999,9.34,G,Physics,64.51,8100
B23P,457602,312156,335670,1898,9999,6.11,B,Performing Operations; Transporting,68.22,8101
F16J,450954,295214,227213,1872,9999,7.04,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.46,8127
E04C,448520,290697,249639,1893,9999,7.17,E,Fixed Constructions,64.81,8106
H02H,447351,286181,232634,1900,9999,8.04,H,Electricity,63.97,8099
G07F,444912,255818,220416,1888,9999,26.84,G,Physics,57.5,8111
C10M,443133,266724,83520,1870,9999,15.94,C,Chemistry; Metallurgy,60.19,8129
B29B,439593,292142,198412,1901,9999,7.4,B,Performing Operations; Transporting,66.46,8098
H03M,438162,290737,157907,1877,9999,19.37,H,Electricity,66.35,8122
F01D,436980,287245,146409,1882,9999,12.85,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.73,8117
F21Y,436744,327165,348723,1903,9999,6.39,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,74.91,8096
C12R,435255,244393,175760,1920,9999,23.47,C,Chemistry; Metallurgy,56.15,8079
A61C,435239,273587,166008,1878,9999,17.78,A,Human Necessities,62.86,8121
E02F,433961,283825,184062,1889,9999,6.35,E,Fixed Constructions,65.4,8110
B21B,430986,281411,174756,1878,9999,5.4,B,Performing Operations; Transporting,65.29,8121
G16H,430150,158535,147752,1966,2024,24.86,G,Physics,36.86,58
B66F,423457,300731,219303,1878,9999,3.66,B,Performing Operations; Transporting,71.02,8121
F04C,420296,263893,140772,1880,9999,7.51,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.79,8119
B64C,419198,283413,187267,1876,9999,10.99,B,Performing Operations; Transporting,67.61,8123
B23D,415354,308652,217601,1877,9999,4.41,B,Performing Operations; Transporting,74.31,8122
A01C,413739,264632,267743,1877,9999,3.98,A,Human Necessities,63.96,8122
F24C,413668,262879,244240,1879,9999,4.02,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.55,8120
